fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality [cat],id
9.7,0.69,0.32,2.5,0.088,22,91,99.79,3.29,0.62,10.1,5,1306
12.8,0.84,0.63,2.4,0.088,13,35,99.97,3.1,0.6,10.4,6,429
9,0.69,0,2.4,0.088,19,38,99.9,3.35,0.6,9.3,5,739
8,0.62,0.33,2.7,0.088,16,37,99.72,3.31,0.58,10.7,6,1073
7.7,0.58,0.01,1.8,0.088,12,18,99.568,3.32,0.56,10.5,7,1024
7.7,0.58,0.01,1.8,0.088,12,18,99.568,3.32,0.56,10.5,7,1029
8.9,0.32,0.31,2,0.088,12,19,99.57,3.17,0.55,10.4,6,1011
8.9,0.875,0.13,3.45,0.088,4,14,99.94,3.44,0.52,11.5,5,731
8.8,0.61,0.3,2.8,0.088,17,46,99.76,3.26,0.51,9.3,4,41
8.9,0.4,0.32,5.6,0.087,10,47,99.91,3.38,0.77,10.5,7,279
8.9,0.4,0.32,5.6,0.087,10,47,99.91,3.38,0.77,10.5,7,283
7.7,0.51,0.28,2.1,0.087,23,54,99.8,3.42,0.74,9.2,5,384
7.4,0.36,0.29,2.6,0.087,26,72,99.645,3.39,0.68,11,5,314
7.9,0.545,0.06,4,0.087,27,61,99.65,3.36,0.67,10.7,6,270
7.9,0.545,0.06,4,0.087,27,61,99.65,3.36,0.67,10.7,6,275
11.5,0.59,0.59,2.6,0.087,13,49,99.88,3.18,0.65,11,6,397
7.5,0.52,0.42,2.3,0.087,8,38,99.72,3.58,0.61,10.5,6,177
8.8,0.52,0.34,2.7,0.087,24,122,99.82,3.26,0.61,9.5,5,414
8.3,0.615,0.22,2.6,0.087,6,19,99.82,3.26,0.61,9.3,5,461
9.7,0.55,0.17,2.9,0.087,20,53,100.04,3.14,0.61,9.4,5,655
7,0.975,0.04,2,0.087,12,67,99.565,3.35,0.6,9.4,4,261
9.6,0.68,0.24,2.2,0.087,5,28,99.88,3.14,0.6,10.2,5,475
7.6,0.41,0.14,3,0.087,21,43,99.64,3.32,0.57,10.5,6,632
9.2,0.92,0.24,2.6,0.087,12,93,99.98,3.48,0.54,9.8,5,691
9.4,0.615,0.28,3.2,0.087,18,72,100.01,3.31,0.53,9.7,5,698
5.8,0.68,0.02,1.8,0.087,21,94,99.44,3.54,0.52,10,5,146
7.6,0.79,0.21,2.3,0.087,21,68,99.55,3.12,0.44,9.2,5,1304
8.6,0.45,0.31,2.6,0.086,21,50,99.82,3.37,0.91,9.9,6,361
8.7,0.69,0.31,3,0.086,23,81,100.02,3.48,0.74,11.6,6,493
8.7,0.69,0.31,3,0.086,23,81,100.02,3.48,0.74,11.6,6,499
11.3,0.62,0.67,5.2,0.086,6,19,99.88,3.22,0.69,13.4,8,455
7.8,0.39,0.42,2,0.086,9,21,99.526,3.39,0.66,11.6,6,1148
9.2,0.43,0.49,2.4,0.086,23,116,99.76,3.23,0.64,9.5,5,524
8.9,0.75,0.14,2.5,0.086,9,30,99.824,3.34,0.64,10.5,5,885
8,0.62,0.35,2.8,0.086,28,52,99.7,3.31,0.62,10.8,5,1069
7.6,0.5,0.29,2.3,0.086,5,14,99.502,3.32,0.62,11.5,6,1169
7.8,0.6,0.14,2.4,0.086,3,15,99.75,3.42,0.6,10.8,6,36
7.9,0.34,0.42,2,0.086,8,19,99.546,3.35,0.6,11.4,6,1091
7.5,0.53,0.06,2.6,0.086,20,44,99.65,3.38,0.59,10.7,6,300
7.4,0.5,0.47,2,0.086,21,73,99.7,3.36,0.57,9.1,5,82
8.9,0.595,0.41,7.9,0.086,30,109,99.98,3.27,0.57,9.3,5,595
6.9,0.56,0.03,1.5,0.086,36,46,99.522,3.53,0.57,10.6,5,871
7.8,0.645,0,5.5,0.086,5,18,99.86,3.4,0.55,9.6,6,35
7.1,0.66,0,3.9,0.086,17,45,99.76,3.46,0.54,9.5,5,719
9.6,0.88,0.28,2.4,0.086,30,147,99.79,3.24,0.53,9.4,5,636
6.7,0.75,0.12,2,0.086,12,80,99.58,3.38,0.52,10.1,5,78
10.6,0.83,0.37,2.6,0.086,26,70,99.81,3.16,0.52,9.9,5,296
7.4,0.74,0.07,1.7,0.086,15,48,99.502,3.12,0.48,10,5,1246
7.6,0.645,0.03,1.9,0.086,14,57,99.69,3.37,0.46,10.3,5,1353
8.2,0.885,0.2,1.4,0.086,7,31,99.46,3.11,0.46,10,5,1376
6.1,0.32,0.25,1.8,0.086,5,32,99.464,3.36,0.44,10.1,5,1355
7.2,0.725,0.05,4.65,0.086,4,11,99.62,3.41,0.39,10.9,5,64
7.2,0.725,0.05,4.65,0.086,4,11,99.62,3.41,0.39,10.9,5,65
10,0.31,0.47,2.6,0.085,14,33,99.965,3.36,0.8,10.5,7,259
13.7,0.415,0.68,2.9,0.085,17,43,100.14,3.06,0.8,10,6,391
6.9,0.5,0.04,1.5,0.085,19,49,99.58,3.35,0.78,9.5,5,175
11.2,0.66,0.24,2.5,0.085,16,53,99.93,3.06,0.72,11,6,543
7,0.58,0.28,4.8,0.085,12,69,99.633,3.32,0.7,11,6,1257
13,0.47,0.49,4.3,0.085,6,47,100.21,3.3,0.68,12.7,6,559
13,0.47,0.49,4.3,0.085,6,47,100.21,3.3,0.68,12.7,6,564
10.1,0.37,0.34,2.4,0.085,5,17,99.683,3.17,0.65,10.6,7,1035
6.9,0.4,0.14,2.4,0.085,21,40,99.68,3.43,0.63,9.7,6,24
11.4,0.6,0.49,2.7,0.085,10,41,99.94,3.15,0.63,10.5,6,403
12.2,0.48,0.54,2.6,0.085,19,64,100,3.1,0.61,10.5,6,402
8.8,0.47,0.49,2.9,0.085,17,110,99.82,3.29,0.6,9.8,5,578
9.3,0.4,0.49,2.5,0.085,38,142,99.78,3.22,0.55,9.4,5,523
9.3,0.43,0.44,1.9,0.085,9,22,99.708,3.28,0.55,9.5,5,850
9.3,0.43,0.44,1.9,0.085,9,22,99.708,3.28,0.55,9.5,5,851
6.8,0.64,0.1,2.1,0.085,18,101,99.56,3.34,0.52,10.2,5,166
7.3,0.66,0,2,0.084,6,23,99.83,3.61,0.96,9.9,6,245
7.3,0.66,0,2,0.084,6,23,99.83,3.61,0.96,9.9,6,249
8.1,0.825,0.24,2.1,0.084,5,13,99.72,3.37,0.77,10.7,6,537
9.3,0.5,0.36,1.8,0.084,6,17,99.704,3.27,0.77,10.8,6,1049
10.4,0.33,0.63,2.8,0.084,5,22,99.98,3.26,0.74,11.2,7,453
8.1,0.72,0.09,2.8,0.084,18,49,99.94,3.43,0.72,11.1,6,726
11.2,0.67,0.55,2.3,0.084,6,13,100,3.17,0.71,9.5,6,507
7.2,0.54,0.27,2.6,0.084,12,78,99.64,3.39,0.71,11,5,906
11.5,0.315,0.54,2.1,0.084,5,15,99.87,2.98,0.7,9.2,6,464
13.3,0.29,0.75,2.8,0.084,23,43,99.86,3.04,0.68,11.4,7,509
7.9,0.765,0,2,0.084,9,22,99.619,3.33,0.68,10.9,6,1282
10.8,0.4,0.41,2.2,0.084,7,17,99.84,3.08,0.67,9.3,6,676
8.4,0.62,0.09,2.2,0.084,11,108,99.64,3.15,0.66,9.8,5,111
6.8,0.41,0.31,8.8,0.084,26,45,99.824,3.38,0.64,10.1,6,917
6.8,0.56,0.03,1.7,0.084,18,35,99.68,3.44,0.63,10,6,452
9,0.48,0.32,2.8,0.084,21,122,99.84,3.32,0.62,9.4,5,693
8.3,0.61,0.3,2.1,0.084,11,50,99.72,3.4,0.61,10.2,6,100
9,0.47,0.31,2.7,0.084,24,125,99.84,3.31,0.61,9.4,5,694
9,0.45,0.49,2.6,0.084,21,75,99.87,3.35,0.57,9.7,5,590
9,0.45,0.49,2.6,0.084,21,75,99.87,3.35,0.57,9.7,5,592
8.4,0.52,0.22,2.7,0.084,4,18,99.682,3.26,0.57,9.9,6,804
9.4,0.59,0.14,2,0.084,25,48,99.81,3.14,0.56,9.7,5,665
7.9,1.04,0.05,2.2,0.084,13,29,99.59,3.22,0.55,9.9,6,134
7.9,0.5,0.33,2,0.084,15,143,99.68,3.2,0.55,9.5,5,188
8.8,0.64,0.17,2.9,0.084,25,130,99.818,3.23,0.54,9.6,5,791
7.5,0.51,0.02,1.7,0.084,13,31,99.538,3.36,0.54,10.5,6,1339
7.5,0.51,0.02,1.7,0.084,13,31,99.538,3.36,0.54,10.5,6,1340
7.5,0.51,0.02,1.7,0.084,13,31,99.538,3.36,0.54,10.5,6,1341
7.5,0.51,0.02,1.7,0.084,13,31,99.538,3.36,0.54,10.5,6,1343
8.5,0.49,0.11,2.3,0.084,9,67,99.68,3.17,0.53,9.4,5,23
8.3,0.675,0.26,2.1,0.084,11,43,99.76,3.31,0.53,9.2,4,73
9.5,0.885,0.27,2.3,0.084,31,145,99.78,3.24,0.53,9.4,5,637
8.1,0.87,0,2.2,0.084,10,31,99.656,3.25,0.5,9.8,5,757
8.1,0.87,0,2.2,0.084,10,31,99.656,3.25,0.5,9.8,5,758
7.7,0.69,0.22,1.9,0.084,18,94,99.61,3.31,0.48,9.5,5,72
8.6,0.8,0.11,2.3,0.084,12,31,99.79,3.4,0.48,9.9,5,677
10,0.69,0.11,1.4,0.084,8,24,99.578,2.88,0.47,9.7,5,1470
6.1,0.34,0.25,1.8,0.084,4,28,99.464,3.36,0.44,10.1,5,1356
12.5,0.37,0.55,2.6,0.083,25,68,99.95,3.15,0.82,10.4,6,472
7.1,0.63,0.06,2,0.083,8,29,99.855,3.67,0.73,9.6,5,297
12.8,0.615,0.66,5.8,0.083,7,42,100.22,3.07,0.73,10,7,364
12.8,0.615,0.66,5.8,0.083,7,42,100.22,3.07,0.73,10,7,366
9.8,0.66,0.39,3.2,0.083,21,59,99.89,3.37,0.71,11.5,7,318
6.6,0.64,0.31,6.1,0.083,7,49,99.718,3.35,0.68,10.3,5,1388
8.3,0.655,0.12,2.3,0.083,15,113,99.66,3.17,0.66,9.8,5,32
9.6,0.42,0.35,2.1,0.083,17,38,99.622,3.23,0.66,11.1,6,1153
9,0.8,0.12,2.4,0.083,8,28,99.836,3.33,0.65,10.4,6,886
10,0.26,0.54,1.9,0.083,42,74,99.451,2.98,0.63,11.8,8,1090
9.2,0.43,0.52,2.3,0.083,14,23,99.76,3.35,0.61,11.3,6,460
8.6,0.645,0.25,2,0.083,8,28,99.815,3.28,0.6,10,6,223
8.8,0.44,0.49,2.8,0.083,18,111,99.82,3.3,0.6,9.5,5,577
7.7,0.61,0.18,2.4,0.083,6,20,99.63,3.29,0.6,10.2,6,1065
7.5,0.63,0.27,2,0.083,17,91,99.616,3.26,0.58,9.8,6,1315
8,0.725,0.24,2.8,0.083,10,62,99.685,3.35,0.56,10,6,211
7.4,0.6,0.26,2.1,0.083,17,91,99.616,3.29,0.56,9.8,6,1329
7.4,0.6,0.26,2.1,0.083,17,91,99.616,3.29,0.56,9.8,6,1330
6.3,1.02,0,2,0.083,17,24,99.437,3.59,0.55,11.2,4,1261
8.8,0.24,0.54,2.5,0.083,25,57,99.83,3.39,0.54,9.2,5,610
7.1,0.67,0,2.3,0.083,18,27,99.768,3.44,0.54,9.4,5,1551
7.8,0.82,0.29,4.3,0.083,21,64,99.642,3.16,0.53,9.4,5,1501
7.2,0.41,0.3,2.1,0.083,35,72,99.7,3.44,0.52,9.4,5,975
9.9,0.35,0.41,2.3,0.083,11,61,99.82,3.21,0.5,9.5,5,785
8,1.18,0.21,1.9,0.083,14,41,99.532,3.34,0.47,10.5,5,1312
12.5,0.28,0.54,2.3,0.082,12,29,99.97,3.11,1.36,9.8,7,339
11.9,0.57,0.5,2.6,0.082,6,32,100.06,3.12,0.78,10.7,6,344
7.4,0.37,0.43,2.6,0.082,18,82,99.708,3.33,0.68,9.7,6,790
7.4,0.55,0.19,1.8,0.082,15,34,99.655,3.49,0.68,10.5,5,1245
13.4,0.27,0.62,2.6,0.082,6,21,100.02,3.16,0.67,9.7,6,328
11.3,0.34,0.45,2,0.082,6,15,99.88,2.94,0.66,9.2,6,667
11.3,0.34,0.45,2,0.082,6,15,99.88,2.94,0.66,9.2,6,669
7.6,0.39,0.31,2.3,0.082,23,71,99.82,3.52,0.65,9.7,5,21
10.1,0.45,0.23,1.9,0.082,10,18,99.774,3.22,0.65,9.3,6,892
9.6,0.77,0.12,2.9,0.082,30,74,99.865,3.3,0.64,10.4,6,319
7.1,0.43,0.17,1.8,0.082,27,51,99.634,3.49,0.64,10.4,5,1047
8.3,0.56,0.22,2.4,0.082,10,86,99.83,3.37,0.62,9.5,5,1243
8,0.5,0.39,2.6,0.082,12,46,99.85,3.43,0.62,10.7,6,1404
7,0.45,0.34,2.7,0.082,16,72,99.8,3.55,0.6,9.5,5,733
7.8,0.645,0,2,0.082,8,16,99.64,3.38,0.59,9.8,6,29
7.8,0.34,0.37,2,0.082,24,58,99.64,3.34,0.59,9.4,6,220
7.6,0.31,0.34,2.5,0.082,26,35,99.356,3.22,0.59,12.5,7,1036
7.4,0.39,0.48,2,0.082,14,67,99.72,3.34,0.55,9.2,5,186
9.4,0.685,0.26,2.4,0.082,23,143,99.78,3.28,0.55,9.4,5,771
9.5,0.57,0.27,2.3,0.082,23,144,99.782,3.27,0.55,9.4,5,772
7.1,0.59,0.02,2.3,0.082,24,94,99.744,3.55,0.53,9.7,6,768
7.1,0.59,0.02,2.3,0.082,24,94,99.744,3.55,0.53,9.7,6,770
7.6,0.62,0.32,2.2,0.082,7,54,99.66,3.36,0.52,9.4,5,306
9.4,0.5,0.34,3.6,0.082,5,14,99.87,3.29,0.52,10.7,6,799
9.9,0.27,0.49,5,0.082,9,17,99.484,3.19,0.52,12.5,7,941
7.1,0.875,0.05,5.7,0.082,3,14,99.808,3.4,0.52,10.2,3,1478
9.5,0.37,0.52,2,0.082,6,26,99.8,3.18,0.51,9.5,5,392
7.8,0.5,0.17,1.6,0.082,21,102,99.6,3.39,0.48,9.5,5,124
8.1,1.33,0,1.8,0.082,3,12,99.64,3.54,0.48,10.9,5,127
7.1,0.34,0.28,2,0.082,31,68,99.694,3.45,0.48,9.4,5,991
7.1,0.34,0.28,2,0.082,31,68,99.694,3.45,0.48,9.4,5,993
8.4,0.56,0.04,2,0.082,10,22,99.76,3.22,0.44,9.6,5,718
8.4,0.56,0.04,2,0.082,10,22,99.76,3.22,0.44,9.6,5,720
6.6,0.96,0,1.8,0.082,5,16,99.36,3.5,0.44,11.9,6,1410
7.5,0.59,0.22,1.8,0.082,43,60,99.499,3.1,0.42,9.2,5,1256
9.3,0.49,0.36,1.7,0.081,3,14,99.702,3.27,0.78,10.9,6,1048
8,0.3,0.63,1.6,0.081,16,29,99.588,3.3,0.78,10.8,6,1576
12.5,0.38,0.6,2.6,0.081,31,72,99.96,3.1,0.73,10.5,5,446
8.4,0.36,0.32,2.2,0.081,32,79,99.64,3.3,0.72,11,6,918
9.6,0.54,0.42,2.4,0.081,25,52,99.7,3.2,0.71,11.4,6,471
6.4,0.64,0.21,1.8,0.081,14,31,99.689,3.59,0.66,9.8,5,846
6.4,0.64,0.21,1.8,0.081,14,31,99.689,3.59,0.66,9.8,5,848
6.1,0.705,0.1,2.8,0.081,13,28,99.631,3.6,0.66,10.2,5,1531
7.8,0.52,0.25,1.9,0.081,14,38,99.84,3.43,0.65,9,6,496
7.8,0.52,0.25,1.9,0.081,14,38,99.84,3.43,0.65,9,6,500
7.2,0.415,0.36,2,0.081,13,45,99.72,3.48,0.64,9.2,5,137
6.2,0.64,0.09,2.5,0.081,15,26,99.538,3.57,0.63,12,5,1538
7.1,0.61,0.02,2.5,0.081,17,87,99.745,3.48,0.6,9.7,6,792
7.2,0.57,0.05,2.3,0.081,16,36,99.564,3.38,0.6,10.3,6,1265
7.2,0.57,0.05,2.3,0.081,16,36,99.564,3.38,0.6,10.3,6,1266
7,0.54,0.09,2,0.081,10,16,99.479,3.43,0.59,11.5,6,1092
9.8,0.45,0.38,2.5,0.081,34,66,99.726,3.15,0.58,9.8,5,1262
7,0.735,0.05,2,0.081,13,54,99.66,3.39,0.57,9.8,5,63
8.6,0.38,0.36,3,0.081,30,119,99.7,3.2,0.56,9.4,5,53
13.2,0.38,0.55,2.7,0.081,5,16,100.06,2.98,0.54,9.4,5,611
8.2,0.43,0.29,1.6,0.081,27,45,99.603,3.25,0.54,10.3,5,1004
8.3,0.78,0.1,2.6,0.081,45,87,99.83,3.48,0.53,10,5,678
7.7,0.835,0,2.6,0.081,6,14,99.75,3.3,0.52,9.3,5,602
8.2,1.33,0,1.7,0.081,3,12,99.64,3.53,0.49,10.9,5,126
10.2,0.33,0.46,1.9,0.081,6,9,99.628,3.1,0.48,10.4,6,1214
8.1,0.73,0,2.5,0.081,12,24,99.798,3.38,0.46,9.6,4,1238
8.3,0.625,0.2,1.5,0.08,27,119,99.72,3.16,1.12,9.1,4,79
9.4,0.3,0.56,2.8,0.08,6,17,99.64,3.15,0.92,11.7,8,481
11.5,0.41,0.52,3,0.08,29,55,100.01,3.26,0.88,11,5,356
8.2,0.38,0.32,2.5,0.08,24,71,99.624,3.27,0.85,11,6,1141
12.6,0.39,0.49,2.5,0.08,8,20,99.92,3.07,0.82,10.3,6,1224
7,0.43,0.02,1.9,0.08,15,28,99.492,3.35,0.81,10.6,6,1495
8.3,0.26,0.42,2,0.08,11,27,99.74,3.21,0.8,9.4,6,380
10.4,0.52,0.45,2,0.08,6,13,99.774,3.22,0.76,11.4,6,1136
6.8,0.67,0,1.9,0.08,22,39,99.701,3.4,0.74,9.7,5,1447
9.3,0.36,0.39,1.5,0.08,41,55,99.652,3.47,0.73,10.9,6,853
9.3,0.36,0.39,1.5,0.08,41,55,99.652,3.47,0.73,10.9,6,854
9.3,0.36,0.39,1.5,0.08,41,55,99.652,3.47,0.73,10.9,6,856
6.6,0.61,0.01,1.9,0.08,8,25,99.746,3.69,0.73,10.5,5,934
6.7,0.64,0.23,2.1,0.08,11,119,99.538,3.36,0.7,10.9,5,1184
6.7,0.64,0.23,2.1,0.08,11,119,99.538,3.36,0.7,10.9,5,1188
7.4,0.635,0.1,2.4,0.08,16,33,99.736,3.58,0.69,10.8,7,901
7.4,0.635,0.1,2.4,0.08,16,33,99.736,3.58,0.69,10.8,7,902
10.1,0.31,0.44,2.3,0.08,22,46,99.88,3.32,0.67,9.7,6,113
7.3,0.4,0.3,1.7,0.08,33,79,99.69,3.41,0.65,9.5,6,1140
7.8,0.43,0.32,2.8,0.08,29,58,99.74,3.31,0.64,10.3,5,337
7.5,0.42,0.31,1.6,0.08,15,42,99.78,3.31,0.64,9,5,661
9,0.43,0.34,2.5,0.08,26,86,99.87,3.38,0.62,9.5,6,410
5.6,0.62,0.03,1.5,0.08,6,13,99.498,3.66,0.62,10.1,4,1480
5.2,0.645,0,2.15,0.08,15,28,99.444,3.78,0.61,12.5,6,1300
7.3,0.735,0,2.2,0.08,18,28,99.765,3.41,0.6,9.4,5,1553
7.6,0.41,0.24,1.8,0.08,4,11,99.62,3.28,0.59,9.5,5,26
8.1,0.545,0.18,1.9,0.08,13,35,99.72,3.3,0.59,9,6,99
8.1,0.545,0.18,1.9,0.08,13,35,99.72,3.3,0.59,9,6,102
7.2,0.63,0.03,2.2,0.08,17,88,99.745,3.53,0.58,9.8,6,894
7.1,0.59,0.01,2.3,0.08,27,43,99.55,3.42,0.58,10.7,6,895
7.1,0.59,0.01,2.3,0.08,27,43,99.55,3.42,0.58,10.7,6,897
8.6,0.37,0.65,6.4,0.08,3,8,99.817,3.27,0.58,11,5,1078
10.6,1.025,0.43,2.8,0.08,21,84,99.85,3.06,0.57,10.1,5,710
9.1,0.4,0.57,4.6,0.08,6,20,99.652,3.28,0.57,12.5,6,1190
6.3,0.39,0.16,1.4,0.08,11,23,99.55,3.34,0.56,9.3,5,25
7.1,0.71,0,1.9,0.08,14,35,99.72,3.47,0.55,9.4,5,28
10,0.58,0.22,1.9,0.08,9,32,99.74,3.13,0.55,9.5,5,622
7.3,0.59,0.26,2,0.08,17,104,99.584,3.28,0.52,9.9,5,1397
7.8,0.6,0.26,2,0.08,31,131,99.622,3.21,0.52,9.9,5,1559
7.8,0.6,0.26,2,0.08,31,131,99.622,3.21,0.52,9.9,5,1560
7.8,0.6,0.26,2,0.08,31,131,99.622,3.21,0.52,9.9,5,1561
7.9,0.69,0.21,2.1,0.08,33,141,99.62,3.25,0.51,9.9,5,1400
7.1,0.36,0.3,1.6,0.08,35,70,99.693,3.44,0.5,9.4,5,987
8,0.6,0.22,2.1,0.08,25,105,99.613,3.3,0.49,9.9,5,1382
8,0.6,0.22,2.1,0.08,25,105,99.613,3.3,0.49,9.9,5,1383
7.3,0.38,0.21,2,0.08,7,35,99.61,3.33,0.47,9.5,5,176
8.2,0.34,0.38,2.5,0.08,12,57,99.78,3.3,0.47,9,6,746
7.5,0.58,0.03,4.1,0.08,27,46,99.592,3.02,0.47,9.2,5,1226
11.5,0.31,0.51,2.2,0.079,14,28,99.82,3.03,0.93,9.8,6,617
9.2,0.31,0.36,2.2,0.079,11,31,99.615,3.33,0.86,12,7,1093
7,0.54,0,2.1,0.079,39,55,99.56,3.39,0.84,11.4,6,1422
12.4,0.35,0.49,2.6,0.079,27,69,99.94,3.12,0.75,10.4,6,548
7.9,0.57,0.31,2,0.079,10,79,99.677,3.29,0.69,9.5,6,1216
7.8,0.7,0.06,1.9,0.079,20,35,99.628,3.4,0.69,10.9,5,1254
8.6,0.315,0.4,2.2,0.079,3,6,99.512,3.27,0.67,11.9,6,915
8.8,0.4,0.4,2.2,0.079,19,52,99.8,3.44,0.64,9.2,5,60
6.9,0.49,0.19,1.7,0.079,13,26,99.547,3.38,0.64,9.8,6,1041
8.2,0.51,0.24,2,0.079,16,86,99.764,3.34,0.64,9.5,6,1139
9.5,0.86,0.26,1.9,0.079,13,28,99.712,3.25,0.62,10,5,981
7.7,0.6,0.06,2,0.079,19,41,99.697,3.39,0.62,10.1,6,995
7.6,0.36,0.31,1.7,0.079,26,65,99.716,3.46,0.62,9.5,6,1173
7.6,0.36,0.31,1.7,0.079,26,65,99.716,3.46,0.62,9.5,6,1174
8.3,0.43,0.3,3.4,0.079,7,34,99.788,3.36,0.61,10.5,5,778
7.1,0.6,0.01,2.3,0.079,24,37,99.514,3.4,0.61,10.9,6,1250
6.7,0.62,0.21,1.9,0.079,8,62,99.7,3.52,0.58,9.3,6,184
7.5,0.4,0.18,1.6,0.079,24,58,99.65,3.34,0.58,9.4,5,1421
6.8,0.6,0.18,1.9,0.079,18,86,99.68,3.59,0.57,9.3,6,159
9.6,0.6,0.5,2.3,0.079,28,71,99.97,3.5,0.57,9.7,5,616
7.6,0.46,0.11,2.6,0.079,12,49,99.68,3.21,0.57,10,5,717
7.6,0.9,0.06,2.5,0.079,5,10,99.67,3.39,0.56,9.8,5,98
10,0.56,0.24,2.2,0.079,19,58,99.91,3.18,0.56,10.1,6,787
10,0.56,0.24,2.2,0.079,19,58,99.91,3.18,0.56,10.1,6,788
6.9,0.41,0.31,2,0.079,21,51,99.668,3.47,0.55,9.5,6,1268
7.9,0.52,0.26,1.9,0.079,42,140,99.64,3.23,0.54,9.5,5,90
9.4,0.33,0.59,2.8,0.079,9,30,99.76,3.12,0.54,12,6,653
6.1,0.56,0,2.2,0.079,6,9,99.48,3.59,0.54,11.5,6,907
9.1,0.775,0.22,2.2,0.079,12,48,99.76,3.18,0.51,9.6,5,1333
6.5,0.88,0.03,5.6,0.079,23,47,99.572,3.58,0.5,11.2,4,1176
8,0.77,0.32,2.1,0.079,16,74,99.656,3.27,0.5,9.8,6,1368
11.5,0.45,0.5,3,0.078,19,47,100.03,3.26,1.11,11,6,376
9.1,0.22,0.24,2.1,0.078,1,28,99.9,3.41,0.87,10.3,6,530
9.1,0.22,0.24,2.1,0.078,1,28,99.9,3.41,0.87,10.3,6,535
7.9,0.35,0.46,3.6,0.078,15,37,99.73,3.35,0.86,12.8,8,267
7.5,0.55,0.24,2,0.078,10,28,99.83,3.45,0.78,9.5,6,546
8.3,0.31,0.39,2.4,0.078,17,43,99.444,3.31,0.77,12.5,7,896
8.3,0.31,0.39,2.4,0.078,17,43,99.444,3.31,0.77,12.5,7,898
8.7,0.41,0.41,6.2,0.078,25,42,99.53,3.24,0.77,12.6,7,1038
7.9,0.65,0.01,2.5,0.078,17,38,99.63,3.34,0.74,11.7,7,334
7.4,0.68,0.16,1.8,0.078,12,39,99.77,3.5,0.7,9.9,6,847
9,0.785,0.24,1.7,0.078,10,21,99.692,3.29,0.67,10,5,1164
6.7,0.76,0.02,1.8,0.078,6,12,99.6,3.55,0.63,9.95,3,1505
8.2,0.56,0.23,3.4,0.078,14,104,99.76,3.28,0.62,9.4,5,621
7.1,0.56,0.14,1.6,0.078,7,18,99.592,3.27,0.62,9.3,5,961
6.8,0.65,0.02,2.1,0.078,8,15,99.498,3.35,0.62,10.4,6,1210
6.8,0.65,0.02,2.1,0.078,8,15,99.498,3.35,0.62,10.4,6,1212
6.7,0.75,0.01,2.4,0.078,17,32,99.55,3.55,0.61,12.8,6,355
7,0.5,0.14,1.8,0.078,10,23,99.636,3.53,0.61,10.4,5,1019
6.2,0.43,0.22,1.8,0.078,21,56,99.633,3.52,0.6,9.5,6,1195
7.4,0.52,0.13,2.4,0.078,34,61,99.528,3.43,0.59,10.8,6,908
7.6,0.4,0.29,1.9,0.078,29,66,99.71,3.45,0.59,9.5,6,932
7.3,0.43,0.24,2.5,0.078,27,67,99.648,3.6,0.59,11.1,6,1357
7.6,0.41,0.33,2.5,0.078,6,23,99.57,3.3,0.58,11.2,5,1427
9.2,0.53,0.24,2.6,0.078,28,139,99.788,3.21,0.57,9.5,5,741
7.2,0.66,0.03,2.3,0.078,16,86,99.743,3.53,0.57,9.7,5,891
7.2,0.66,0.03,2.3,0.078,16,86,99.743,3.53,0.57,9.7,5,893
8.5,0.46,0.31,2.25,0.078,32,58,99.8,3.33,0.54,9.8,5,682
9.1,0.765,0.04,1.6,0.078,4,14,99.8,3.29,0.54,9.7,4,704
7.2,0.62,0.06,2.5,0.078,17,84,99.746,3.51,0.53,9.7,5,863
8,0.38,0.06,1.8,0.078,12,49,99.625,3.37,0.52,9.9,6,231
9.9,0.74,0.28,2.6,0.078,21,77,99.8,3.28,0.51,9.8,5,714
7.2,0.45,0.15,2,0.078,10,28,99.609,3.29,0.51,9.9,6,1378
8.5,0.585,0.18,2.1,0.078,5,30,99.67,3.2,0.48,9.8,6,598
9.8,0.98,0.32,2.3,0.078,35,152,99.8,3.25,0.48,9.4,5,684
8,0.52,0.25,2,0.078,19,59,99.612,3.3,0.48,10.2,5,1393
7.2,0.655,0.03,1.8,0.078,7,12,99.587,3.34,0.39,9.5,5,1347
10.5,0.24,0.42,1.8,0.077,6,22,99.76,3.21,1.05,10.8,7,504
6.9,0.54,0.04,3,0.077,7,27,99.87,3.69,0.91,9.4,6,268
6.9,0.54,0.04,3,0.077,7,27,99.87,3.69,0.91,9.4,6,276
6.3,0.55,0.15,1.8,0.077,26,35,99.314,3.32,0.82,11.6,6,1590
10,0.32,0.59,2.2,0.077,3,15,99.94,3.2,0.78,9.6,5,1414
10,0.32,0.59,2.2,0.077,3,15,99.94,3.2,0.78,9.6,5,1416
9.4,0.685,0.11,2.7,0.077,6,31,99.84,3.19,0.7,10.1,6,479
6.2,0.44,0.39,2.5,0.077,6,14,99.555,3.51,0.69,11,6,1503
7.9,0.37,0.23,1.8,0.077,23,49,99.63,3.28,0.67,9.3,5,263
7.9,0.33,0.23,1.7,0.077,18,45,99.625,3.29,0.65,9.3,5,260
7.1,0.46,0.2,1.9,0.077,28,54,99.56,3.37,0.64,10.4,6,1280
7.1,0.46,0.2,1.9,0.077,28,54,99.56,3.37,0.64,10.4,6,1281
