Name,Closed and Semi-Closed Games,Flank Openings,Indian Defences,Open Games,Semi-Open Games
"Kovalenko, Igor",30.04,32.18,16.88,8.52,12.0
"Olafsson, Fridrik",15.36,33.88,23.73,6.7,20.57
"Botvinnik, Mikhail",25.59,33.73,28.439999999999998,5.949999999999999,6.64
"Schlosser, Philipp",21.11,47.66,22.799999999999997,1.68,6.89
"Averbakh, Yuri L.",19.71,30.75,21.61,11.53,16.08
"Pavasovic, Dusko",0.24,0.48,0.0,33.519999999999996,65.6
"Vajda, Levente",1.44,12.78,0.96,30.619999999999997,54.05
"Strikovic, Aleksa",1.3800000000000001,30.43,4.18,21.14,42.81
"Horvath, Csaba",25.369999999999997,27.07,34.15,3.12,10.549999999999999
"Vorobiov, Evgeny E.",16.46,15.48,21.46,16.48,30.43
"Acs, Peter",4.5,1.75,4.0,35.49,54.46
"Tatai, Stefano",9.47,14.73,15.94,18.14,42.29
"Sznapik, Aleksander",0.46,10.7,1.3800000000000001,28.959999999999997,58.18
"Dorfman, Iossif",24.24,34.16,28.439999999999998,4.76,8.82
"Brunello, Sabino",30.82,22.39,29.240000000000002,7.75,10.59
"Kovacevic, Vlatko",21.91,68.44,5.59,0.48,3.3899999999999997
"Pirc, Vasja",33.07,50.93,14.18,0.5,1.5
"Gajewski, Grzegorz",38.12,30.13,25.03,1.93,4.57
"Filip, Miroslav",16.85,46.77,31.36,1.75,3.48
"Perunovic, Milos",0.0,0.24,0.0,43.89,55.8
"Shamkovich, Leonid",10.01,20.16,16.38,20.86,32.92
"Dronavalli, Harika",24.5,28.240000000000002,22.5,11.75,13.25
"Andriasian, Zaven",1.56,11.17,0.52,37.71,49.3
"Potkin, Vladimir",26.36,15.09,22.19,11.36,25.63
"Georgiev, Vladimir",38.29,26.25,26.79,2.25,6.25
"Koneru, Humpy",49.03,20.8,29.86,0.0,0.75
"Dubov, Daniil",29.16,25.11,26.16,9.76,9.52
"Kharlov, Andrei",22.41,19.44,13.879999999999999,14.58,29.2
"Wade, Robert G.",18.85,18.560000000000002,17.05,20.38,25.52
"Vera Gonzalez-Quevedo, Reynaldo",31.67,23.71,36.88,2.0,5.99
"Agdestein, Simen",25.990000000000002,33.410000000000004,30.88,3.5,5.53
"Svane, Rasmus",34.38,29.14,20.84,7.8100000000000005,7.54
"Novikov, Igor A.",41.86,13.81,39.64,0.25,4.68
"Muzychuk, Anna",2.6399999999999997,2.6399999999999997,0.72,41.8,51.93
"Predojevic, Borki",8.06,11.700000000000001,3.64,33.28,43.160000000000004
"Halkias, Stelios",43.46,24.840000000000003,28.07,2.97,0.81
"Brynell, Stellan",25.28,10.4,14.05,15.9,34.17
"Olafsson, Helgi",23.29,32.839999999999996,34.35,2.25,7.0
"Mirzoev, Azer",33.69,39.93,19.95,1.04,5.71
"Mikhalchishin, Adrian",26.470000000000002,25.6,19.76,6.970000000000001,21.92
"Miton, Kamil",35.51,14.43,33.69,5.92,10.84
"Moskalenko, Viktor",35.96,29.34,30.2,0.75,3.27
"Paehtz, Elisabeth",10.690000000000001,13.84,8.09,26.380000000000003,40.52
"Trifunovic, Petar",31.38,29.61,13.08,13.83,12.62
"Groszpeter, Attila",14.56,11.440000000000001,15.08,19.76,39.01
"Agrest, Evgenij",32.16,44.629999999999995,17.279999999999998,1.2,4.8
"Gipslis, Aivars",2.25,3.5,4.5,38.21,51.7
"Amin, Bassem",2.25,29.56,0.25,24.78,43.089999999999996
"Klovans, Janis",0.0,0.0,0.0,33.36,66.37
"Chiburdanidze, Maia",20.48,15.84,21.78,13.5,28.76
"Dzagnidze, Nana",34.410000000000004,37.85,23.69,1.3,2.62
"Djuric, Stefan",14.180000000000001,30.900000000000002,20.830000000000002,12.040000000000001,22.700000000000003
"Bisguier, Arthur B.",16.33,22.13,19.37,16.33,25.64
"Gutman, Lev",10.26,71.46,15.38,1.62,1.35
"Shankland, Samuel L.",23.52,16.8,20.55,19.54,19.31
"Guimard, Carlos Enrique",45.980000000000004,29.810000000000002,20.91,2.08,1.04
"Malich, Burkhard",29.87,33.62,30.97,1.25,3.76
"Grigoryan, Karen H.",20.17,34.1,17.15,13.63,14.65
"Sarana, Alexey",47.8,12.0,29.02,3.25,7.75
"Lein, Anatoly",13.3,31.42,16.28,10.04,28.62
"Marjanovic, Slavoljub",3.24,5.960000000000001,4.59,26.56,59.43
"Dautov, Rustem",35.53,20.6,43.730000000000004,0.0,0.26
"Predke, Alexandr",16.5,14.0,15.75,25.5,28.0
"Akobian, Varuzhan",50.45,14.25,34.72,0.0,0.75
"Bernadskiy, Vitaliy",16.58,25.18,9.92,22.24,26.68
"O'Kelly de Galway, Alberic",16.37,25.21,30.400000000000002,13.25,15.08
"Esipenko, Andrey",29.12,12.22,18.98,22.63,16.900000000000002
"Ju, Wenjun",30.740000000000002,25.61,34.18,4.050000000000001,5.67
"Gurevich, Dmitry",24.73,32.09,40.370000000000005,1.05,1.3
"Van den Doel, Erik",4.12,6.17,1.04,35.54,53.29
"Barczay, Laszlo",8.05,21.42,9.91,18.240000000000002,42.53
"Garcia Palermo, Carlos",19.76,39.78,29.39,2.08,8.84
"Drasko, Milan",20.55,49.84,29.6,0.0,0.27
"Lopez Martinez, Josep Manuel",13.01,14.33,8.66,22.21,41.5
"Lengyel, Levente",22.380000000000003,41.57,31.46,0.27,3.8200000000000003
"Karlsson, Lars",3.6100000000000003,88.53,4.140000000000001,0.0,4.12
"Chigaev, Maksim",4.21,22.1,9.72,30.810000000000002,32.86
"Timoscenko, Gennadij",24.080000000000002,20.720000000000002,24.64,14.56,15.96
"Janowski, Dawid Markelowicz",43.96,11.75,0.54,39.27,4.3500000000000005
"Buhmann, Rainer",31.69,33.24,27.41,1.51,5.8
"Minasian, Artashes",1.04,38.43,0.0,15.440000000000001,45.41
"Avrukh, Boris",40.87,16.97,39.34,1.01,1.5
"Mastrovasilis, Dimitrios",0.26,3.12,0.0,39.1,57.34
"Morovic Fernandez, Ivan",13.5,17.28,14.31,17.82,36.99
"Paoli, Enrico",0.0,3.6199999999999997,0.52,29.580000000000002,66.59
"Movsziszian, Karen",3.08,74.14,3.64,6.42,12.850000000000001
"Vukic, Milan",10.629999999999999,60.019999999999996,28.22,0.26,1.03
"Milos, Gilberto",10.92,16.38,12.74,24.96,34.84
"Gagunashvili, Merab",35.45,15.23,33.34,3.4800000000000004,12.860000000000001
"Salem, AR Saleh",35.81,8.05,32.870000000000005,11.77,11.74
"Heberla, Bartlomiej",11.38,21.35,8.33,21.630000000000003,37.67
"Guseinov, Gadir",0.0,0.0,0.0,45.77,54.3
"Maze, Sebastien",8.63,8.09,5.130000000000001,31.700000000000003,46.71
"Stein, Leonid",6.83,25.540000000000003,8.940000000000001,28.71,29.46
"Polak, Tomas",43.88,20.34,31.310000000000002,1.62,2.9400000000000004
"Bok, Benjamin",8.77,14.13,11.83,28.75,37.15
"Salgado Lopez, Ivan",12.74,15.860000000000001,4.16,29.64,37.7
"Hamdouchi, Hicham",1.0,3.02,1.0,36.37,58.43
"Vocaturo, Daniele",13.26,7.28,8.32,35.42,35.43
"Mortensen, Erling",2.34,8.58,3.38,26.0,59.54
"Lagno, Kateryna",7.0200000000000005,9.1,5.46,35.93,42.2
"Rubinstein, Akiba",47.910000000000004,26.53,13.52,8.38,3.5100000000000002
"Parma, Bruno",0.0,1.0,0.0,42.55,56.31
"Meduna, Eduard",22.98,50.23,22.23,1.04,3.39
"Inkiov, Ventzislav",18.03,13.040000000000001,27.47,11.13,30.51
"Shimanov, Aleksandr",29.6,36.28,19.330000000000002,5.380000000000001,9.690000000000001
"Tari, Aryan",9.620000000000001,9.36,4.16,38.75,37.97
"Antipov, Mikhail Al",5.4,7.83,2.97,37.540000000000006,46.18
